period,stateid,price
2021,NC,9.29
2021,ND,8.65
2021,NE,8.84
2021,NEW,18.03
2021,NH,17.37
2021,NJ,14.01
2021,NM,9.79
2021,NV,8.58
2021,NY,16.11
2021,OH,9.76
2021,OK,8.52
2021,OR,8.95
2021,PA,9.97
2021,PACC,15.7
2021,PACN,26.19
2021,RI,18.44
2021,SAT,10.12
2021,SC,9.96
2021,SD,10.43
2021,TN,9.78
2021,TX,9.14
2021,US,11.1
2021,UT,8.34
2021,VA,9.14
2021,VT,16.34
2021,WA,8.75
2021,WI,11.01
2021,WNC,9.9
2021,WSC,9.03
2021,WV,8.87
2021,WY,8.25
2022,AK,20.73
2022,AL,11.59
2022,AR,9.91
2022,AZ,11.31
2022,CA,22.33
2022,CO,11.75
2022,CT,21.08
2022,DC,14.94
2022,DE,11.83
2022,ENC,11.77
2022,ESC,10.91
2022,FL,12.51
2022,GA,12.0
2022,HI,39.72
2022,IA,9.57
2022,ID,8.51
2022,IL,11.94
2022,IN,11.66
2022,KS,11.47
2022,KY,10.51
2022,LA,10.41
2022,MA,21.27
2022,MAT,15.02
2022,MD,13.32
2022,ME,17.44
2022,MI,13.2
2022,MN,12.04
2022,MO,10.26
2022,MS,10.36
2022,MT,9.97
2022,MTN,10.46
2022,NC,9.6
2022,ND,8.42
2022,NE,8.83
2022,NEW,20.47
2022,NH,21.07
2022,NJ,14.8
2022,NM,10.02
2022,NV,10.94
2022,NY,18.33
2022,OH,10.64
2022,OK,10.05
2022,OR,9.26
2022,PA,11.86
2022,PACC,17.46
2022,PACN,32.14
2022,RI,19.3
2022,SAT,11.48
2022,SC,10.74
2022,SD,10.44
2022,TN,10.89
2022,TX,10.16
2022,US,12.36
2022,UT,8.8
2022,VA,10.75
2022,VT,16.99
2022,WA,9.05
2022,WI,11.95
2022,WNC,10.38
2022,WSC,10.16
2022,WV,9.74
2022,WY,8.24
2023,AK,21.41
2023,AL,11.47
2023,AR,9.73
2023,AZ,12.19
2023,CA,24.87
2023,CO,11.76
